,City,Latitude,Longitude,Temperature,Cloudiness,Wind Speed,Humidity
139,Jamestown,42.1,-79.24,39.6,90,2.19,100
140,Cockburn Town,21.46,-71.14,82.69,45,21.99,80
141,Pontes e Lacerda,-15.23,-59.34,77.22,97,2.98,84
142,Haines Junction,60.75,-137.51,29.95,100,2.26,95
143,Rapid Valley,44.06,-103.15,38.14,20,3.36,76
144,Vanimo,-2.67,141.3,86.81,62,1.28,62
145,Acarí,-15.43,-74.62,66.45,79,3.98,67
146,Saint George,37.1,-113.58,60.8,1,4.97,9
147,Bhatkal,13.97,74.57,76.37,0,4.83,67
148,Gizo Government Station,-8.1,156.84,84.79,100,6.31,71
149,Bosobolo,4.18,19.9,71.35,100,1.74,96
150,Piopio,-38.47,175.02,70.0,100,3.0,59
151,Mbandaka,0.05,18.26,71.38,100,2.59,97
152,Jacqueville,5.21,-4.41,80.6,75,8.05,94
153,Sawtell,-30.38,153.1,68.97,90,10.29,73
154,Avarua,-21.21,-159.78,73.4,100,8.05,83
155,Sumbe,-11.21,13.84,75.11,78,7.61,87
156,Margate,51.38,1.39,50.0,100,5.99,66
157,Nacala,-14.54,40.67,72.61,0,2.08,87
158,Mattru,7.62,-11.83,74.43,85,0.85,97
159,Qandala,11.47,49.87,74.57,6,2.37,61
160,Torbay,47.67,-52.73,38.39,90,11.41,100
161,Banepā,27.63,85.52,55.4,20,2.24,100
162,Biltine,14.53,20.92,79.57,0,9.26,19
163,Hithadhoo,-0.6,73.08,83.93,85,11.01,66
164,Green Valley,31.85,-110.99,53.76,20,6.93,32
165,Kahului,20.89,-156.47,77.85,40,8.05,66
166,Bushehr,28.97,50.84,75.24,0,4.16,56
167,São Filipe,14.9,-24.5,80.76,60,4.25,74
168,Kruisfontein,-34.0,24.73,57.99,0,6.64,95
169,Selishche,56.89,33.27,44.19,1,9.95,84
170,Azángaro,-14.92,-70.22,52.09,30,7.0,35
171,Ardakān,32.31,54.02,55.4,0,6.93,26
172,Fortuna,40.6,-124.16,59.68,1,11.41,54
173,Hermanus,-34.42,19.23,60.01,100,1.01,92
174,Arlit,18.74,7.39,77.49,0,7.45,16
175,Aswān,24.09,32.91,76.46,0,7.83,39
176,San Vicente,-26.62,-54.13,58.69,0,0.4,71
177,Camacha,33.08,-16.33,66.2,75,5.7,72
178,Rovenki,48.08,39.38,44.82,61,13.38,65
179,Manokwari,-0.87,134.08,84.78,99,0.87,64
180,Eldorado,-23.79,-54.28,66.6,0,1.5,66
181,Morros,-9.45,-46.3,73.36,99,1.32,90
182,Nuuk,64.18,-51.72,24.01,8,5.99,79
183,Broken Hill,-31.95,141.43,62.6,0,8.05,63
184,Mahibadhoo,3.78,72.97,82.42,51,11.16,76
185,Touros,-5.2,-35.46,78.8,75,9.17,83
186,Tiksi,71.69,128.87,-3.21,2,12.73,90
187,Balabac,7.99,117.06,83.98,100,7.11,75
188,Bathsheba,13.22,-59.52,82.4,40,16.11,83
189,Broome,42.25,-75.83,44.42,90,1.07,75
190,Taltal,-25.4,-70.48,58.24,0,5.32,75
191,Vilyuysk,63.76,121.62,4.05,100,1.7,92
192,Manzhouli,49.6,117.43,28.38,0,12.53,79
193,Coos Bay,43.37,-124.22,55.24,1,19.46,71
194,Pangnirtung,66.15,-65.71,8.56,0,4.21,76
195,Mount Gambier,-37.83,140.77,62.6,0,2.24,59
196,Sitka,57.05,-135.33,46.4,75,8.05,87
197,Kyshtovka,56.55,76.63,25.65,100,16.17,95
198,Taoudenni,22.68,-3.98,81.52,0,6.58,17
199,Pyskowice,50.4,18.63,49.42,72,1.01,94
200,Vostok,46.49,135.88,34.34,100,1.86,98
201,Warrington,53.39,-2.58,44.98,100,11.41,87
202,Sainte-Rose,16.33,-61.7,75.2,0,2.24,94
203,Faya,18.39,42.45,54.5,0,5.01,27
204,Plettenberg Bay,-34.05,23.37,61.18,100,5.61,65
205,Bengkulu,-3.8,102.27,81.0,93,2.26,71
206,San Cristobal,7.77,-72.22,67.44,92,1.59,92
207,Iskateley,67.68,53.15,33.91,100,11.23,97
208,Solnechnyy,50.72,136.63,36.43,100,2.82,82
209,Mareeba,-17.0,145.43,86.0,40,9.17,55
210,Fort Nelson,58.81,-122.7,30.2,75,5.82,80
211,Kingsville,27.52,-97.86,51.8,90,16.11,87
212,Nueva Gerona,21.88,-82.8,81.19,100,11.07,84
213,Vangaindrano,-23.35,47.6,70.43,17,1.14,88
214,Tevaitoa,-16.78,-151.5,80.51,14,19.73,81
215,Sokoni,-6.43,39.55,74.59,75,8.48,94
216,Ozernovskiy,51.5,156.52,44.73,0,4.52,76
217,Marabu,4.41,114.01,80.31,20,5.82,83
218,Ponta Delgada,37.73,-25.67,64.4,75,2.24,59
219,Vila Franca do Campo,37.72,-25.43,64.4,75,2.24,59
220,Tabas,33.6,56.92,57.2,0,4.7,28
221,Barra de Tecoanapa,16.52,-98.75,81.12,48,7.54,84
222,Lishui,28.46,119.91,69.76,20,2.26,68
223,Staryy Nadym,65.61,72.68,2.1,0,6.31,90
224,Baijiantan,45.63,85.18,41.76,100,0.81,58
225,Viranşehir,37.24,39.76,64.11,90,3.65,28
226,Stabat,3.76,98.45,77.0,40,2.53,100
227,Wilmington,34.23,-77.94,66.18,1,3.29,88
228,Westport,41.14,-73.36,52.97,90,4.7,54
229,Mago,53.25,140.18,40.14,45,3.85,70
230,Lebu,-37.62,-73.65,50.83,100,11.36,84
231,Cabedelo,-6.98,-34.83,78.8,20,6.93,78
232,Upernavik,72.79,-56.15,16.23,0,5.37,78
233,Narsaq,60.92,-46.05,29.84,100,3.13,97
234,Chernyshevskiy,63.01,112.47,14.58,94,3.62,97
235,Anchorage,61.22,-149.9,32.92,90,3.6,80
236,Ponta do Sol,32.67,-17.1,61.77,75,8.05,68
237,Tabuk,17.42,121.44,81.59,100,2.24,74
238,Pisco,-13.7,-76.22,62.76,0,19.46,82
239,Vila Velha,-20.33,-40.29,77.0,75,11.41,88
240,Chapais,49.78,-74.85,21.2,90,8.05,79
241,General Roca,-39.03,-67.58,59.0,0,11.41,33
242,Oranjemund,-28.55,16.43,55.9,12,2.71,91
243,Sindelfingen,48.7,9.02,46.45,75,2.24,75
244,Tolmin,46.18,13.73,44.11,0,1.99,89
245,Beringovskiy,63.05,179.32,27.75,65,12.5,92
246,Tongchuanshi,35.08,109.09,47.44,99,2.46,69
247,Yar-Sale,66.83,70.83,2.1,0,6.42,92
248,Aracoiaba,-4.37,-38.81,75.97,100,5.37,83
249,Cherëmukhovo,60.35,59.99,26.69,100,4.88,95
250,Maceió,-9.67,-35.74,77.0,75,5.82,83
251,Juba,4.85,31.58,73.42,33,1.07,85
252,Urengoy,65.97,78.37,-1.43,0,10.07,89
253,Weatherford,32.76,-97.8,36.43,100,1.99,94
254,Emerald,-23.53,148.17,81.21,4,9.17,57
255,Sakrand,26.14,68.27,64.4,0,7.09,77
256,Champerico,14.3,-91.92,73.92,75,6.93,78
257,Kirakira,-10.45,161.92,84.42,40,9.62,77
258,Aitape,-3.14,142.35,85.77,93,2.1,66
259,Mahébourg,-20.41,57.7,70.0,4,1.99,80
260,Sande,53.5,8.01,50.0,100,20.0,96
261,Bose,45.46,8.01,49.32,100,3.0,76
262,Ferrol,43.48,-8.24,56.35,0,5.82,82
263,Mossamedes,-15.2,12.15,71.11,0,3.27,79
264,Punta de Bombón,-17.17,-71.79,62.73,28,5.35,78
265,Yatou,37.15,122.38,59.11,0,11.92,41
266,Taveta,-3.4,37.67,70.05,79,5.06,77
267,Porto-Novo,6.5,2.6,80.6,40,11.41,88
268,Camabatela,-8.19,15.38,65.05,100,3.76,100
269,Road Town,18.42,-64.62,80.6,75,6.93,83
270,Hornepayne,49.21,-84.77,27.86,96,14.16,92
271,Betong,5.77,101.07,76.73,100,0.56,84
272,Tieli,46.95,128.05,35.76,0,6.87,75
273,Porgera,-5.47,143.2,41.81,100,0.36,100
274,Aklavik,68.22,-135.01,12.2,90,3.51,85
275,Inhambane,-23.86,35.38,71.82,2,7.11,89
276,Fernley,39.61,-119.25,60.6,1,3.36,18
277,Codrington,-38.27,141.97,60.91,98,4.72,74
278,Roebourne,-20.78,117.13,79.66,65,9.1,59
279,Inta,66.03,60.17,27.63,100,5.79,98
280,Dwārka,22.24,68.97,79.83,0,10.69,64
281,Inuvik,68.35,-133.72,12.2,75,2.24,85
282,Bontang,0.13,117.5,82.27,99,5.12,70
283,Vestmannaeyjar,63.44,-20.27,41.22,30,24.79,70
284,Jasper,37.2,-94.35,34.61,90,8.05,93
285,Cherskiy,68.75,161.3,14.59,100,8.57,93
286,Lüderitz,-26.65,15.16,56.68,0,10.51,79
287,Maryville,35.76,-83.97,67.75,90,1.52,83
288,Torres,-29.34,-49.73,65.35,100,8.75,90
289,Ust'-Charyshskaya Pristan',52.39,83.66,35.69,100,15.14,77
290,Raja,8.46,25.68,73.38,97,2.89,78
291,Esperance,-33.87,121.9,68.0,92,16.11,77
292,Tianpeng,30.99,103.94,62.01,72,6.22,1
293,Lock Haven,41.14,-77.45,48.72,100,0.78,87
294,Morón,-34.65,-58.62,63.3,19,1.99,72
295,Grand Gaube,-20.01,57.66,70.0,0,1.99,80
296,Perth,-31.93,115.83,67.01,75,10.29,68
297,Fukuechō,32.69,128.84,66.2,75,5.82,82
298,Tororo,0.69,34.18,64.06,34,3.29,82
299,Redmond,47.67,-122.12,53.04,34,0.81,75
300,Ribeira Grande,38.52,-28.7,62.82,100,3.58,60
301,Berlevåg,70.86,29.09,38.98,100,9.6,80
302,Kumul,42.8,93.45,44.51,0,8.95,48
303,Rāzole,16.48,81.83,74.71,95,3.69,76
304,Antofagasta,-23.65,-70.4,59.0,75,16.11,82
305,Grootfontein,-19.57,18.12,72.46,100,9.33,23
306,Bandarbeyla,9.49,50.81,74.7,21,3.4,81
307,Tooele,40.53,-112.3,41.11,1,0.27,42
308,Horn Lake,34.96,-90.03,59.99,90,9.17,77
309,Samarai,-10.62,150.67,82.98,2,9.78,78
310,Bellevue,47.61,-122.2,54.34,1,4.7,54
311,Kavaratti,10.57,72.64,81.59,88,6.64,75
312,Bongaree,-27.08,153.16,77.34,51,5.01,71
313,Padang,-0.95,100.35,82.54,30,2.01,65
314,Port Hardy,50.7,-127.42,48.2,90,6.93,93
315,Airai,-8.93,125.41,72.7,29,3.0,72
316,Ilhabela,-23.78,-45.36,72.59,15,6.93,85
317,Tamandaré,-8.76,-35.1,77.2,97,10.89,80
318,Deniliquin,-35.53,144.97,69.33,7,9.1,49
319,Isangel,-19.55,169.27,79.88,16,15.66,68
320,Corbu,44.38,28.65,55.2,40,8.05,100
321,Gulbene,57.18,26.75,53.62,100,12.57,90
322,Soyo,-6.13,12.37,76.96,100,9.15,88
323,Kiryat Gat,31.61,34.76,72.14,100,3.38,100
324,Sarangani,5.4,125.46,77.9,100,3.98,82
325,Gigmoto,13.78,124.39,85.84,93,1.12,66
326,Shahr-e Kord,32.33,50.86,35.6,0,4.7,34
327,Evensk,61.95,159.23,28.71,0,10.07,80
328,Dérac,19.65,-71.82,80.04,1,12.15,79
329,Constitución,-35.33,-72.42,49.32,0,8.25,80
330,Burnie,-41.07,145.92,59.54,95,7.0,53
331,Tigre,-34.43,-58.58,63.25,0,8.05,55
332,Davidson,36.15,-86.78,63.01,75,3.36,77
333,Yerbogachën,61.28,108.01,17.8,89,5.86,96
334,Shingū,33.73,135.98,66.2,75,1.12,52
335,Miraflores,19.22,-98.81,67.8,75,13.87,49
336,Sur,22.57,59.53,70.57,0,1.79,65
337,Ukiah,39.15,-123.21,77.52,1,5.82,10
338,Kargil,34.57,76.1,27.61,10,2.86,74
339,Grand-Santi,4.25,-54.38,77.29,99,3.78,87
340,Santa Barbara,34.73,-120.03,69.91,1,10.29,21
341,Charters Towers,-20.1,146.27,84.07,0,5.39,42
342,La Asuncion,11.03,-63.86,71.6,94,16.11,100
343,Djibouti,11.5,42.5,71.35,0,13.51,72
344,Prince George,53.92,-122.75,36.36,75,12.75,93
345,Palu,-0.89,119.87,86.83,100,1.52,56
346,Avera,33.19,-82.53,70.99,90,5.82,88
347,Vágur,61.47,-6.81,48.76,100,22.08,86
348,Ciudad Juárez,31.73,-106.48,33.84,75,9.17,69
349,Olinda,-8.01,-34.86,80.6,75,9.17,69
350,Howard Springs,-12.5,131.05,87.57,20,2.24,62
351,Sivaki,52.63,126.75,25.83,100,8.72,97
352,San Jose,37.34,-121.89,74.23,1,17.22,13
353,Tataouine,32.93,10.45,57.2,0,1.12,67
354,Tezu,27.92,96.17,72.82,14,2.44,55
355,Krasnyy Yar,46.53,48.35,37.4,0,11.18,69
356,Bend,44.06,-121.32,63.99,1,3.36,12
357,Pundaguitan,6.37,126.17,80.47,100,10.76,80
358,Contai,21.78,87.75,68.18,0,7.99,71
359,Ostrovnoy,68.05,39.51,43.68,100,22.15,92
360,Rāwah,34.48,41.91,61.77,0,2.73,31
361,Iisalmi,63.56,27.19,46.4,100,2.24,100
362,San Mateo Ixtatán,15.83,-91.48,51.44,100,0.63,100
363,Weiser,44.25,-116.97,56.93,1,1.34,25
364,Daru,-9.08,143.21,77.11,100,6.98,91
365,Templemore,52.79,-7.83,44.29,0,4.0,82
366,Caucaia,-3.74,-38.65,80.29,20,9.17,78
367,Salinas,36.68,-121.66,69.62,1,9.17,28
368,Shenkursk,62.11,42.9,42.69,100,10.89,91
369,Asău,46.43,26.4,50.0,58,1.54,98
370,Adrar,20.5,-10.07,81.81,0,12.15,17
371,Lincoln,40.8,-96.67,35.6,1,4.7,51
372,Morehead,37.27,-87.18,52.32,90,4.0,93
373,Edd,13.93,41.69,80.83,0,13.06,45
374,Wisconsin Rapids,44.38,-89.82,29.25,1,8.05,50
375,Matara,5.95,80.54,77.07,71,4.76,86
376,Chokurdakh,70.63,147.92,12.81,100,3.8,97
377,Jiangdu,32.43,119.56,62.01,100,6.98,90
378,Port Macquarie,-31.43,152.92,71.29,90,5.82,73
379,Tuktoyaktuk,69.45,-133.04,12.2,90,12.75,92
380,Merauke,-8.47,140.33,85.14,58,6.76,59
381,Luancheng,37.88,114.65,46.4,100,2.24,61
382,Brandenburg,52.42,12.55,47.66,100,1.99,72
383,Sorong,-0.88,131.25,82.81,46,4.25,77
384,Raipur,21.23,81.63,71.62,87,2.84,65
385,Hofn,64.25,-15.21,38.44,100,21.7,83
386,Palmer,42.16,-72.33,47.43,100,3.27,90
387,Forsytheganj,52.63,29.73,45.14,0,7.14,86
388,Hirado,33.36,129.55,65.21,75,5.82,82
389,Maţāy,28.42,30.78,67.68,0,12.84,76
390,Corn Island,12.17,-83.04,83.19,100,6.13,80
391,Tadine,-21.55,167.88,77.09,89,15.46,72
392,Malanje,-9.54,16.34,66.83,100,7.87,97
393,Deep River,46.1,-77.5,31.48,90,6.93,97
394,Aljezur,37.32,-8.8,58.21,44,0.72,78
395,Andros Town,24.7,-77.77,80.6,20,4.7,88
396,Yangi Marg`ilon,40.43,71.72,50.0,100,2.24,43
397,Tazovsky,67.47,78.7,-3.64,0,8.21,89
398,Aparecida do Taboado,-20.09,-51.09,75.11,0,4.05,70
399,Baghdad,33.34,44.4,60.8,0,6.93,41
400,Saddiqabad,28.31,70.13,67.57,0,5.95,26
401,Sisimiut,66.94,-53.67,18.7,0,8.72,87
402,Novy Urengoy,66.08,76.63,-1.75,0,9.06,89
403,Manoel Urbano,-8.84,-69.26,76.06,81,1.3,90
404,Baruun-Urt,46.68,113.28,31.33,0,8.28,74
405,Kamina,-8.74,24.99,64.33,100,2.44,96
406,Kasongo-Lunda,-6.47,16.82,70.63,100,0.98,93
407,Ust-Nera,64.57,143.2,12.72,90,1.74,81
408,Egvekinot,66.32,-179.17,19.2,88,3.13,93
409,Vallenar,-28.57,-70.76,55.63,0,0.85,71
410,Tarata,-17.62,-66.02,69.8,20,9.17,40
411,Bundaberg,-24.85,152.35,79.14,75,10.29,73
412,Daniel Flores,9.34,-83.67,73.17,78,1.19,85
413,Port Moresby,-9.44,147.18,84.2,75,11.41,74
414,Ixtapa,20.7,-105.2,85.5,40,1.63,74
415,Māndal,25.45,74.57,65.3,0,3.06,25
416,Jovellar,13.07,123.6,85.35,33,1.95,68
417,Nakhon Thai,17.1,100.84,75.24,100,1.88,84
418,Candelaria,13.93,121.42,83.61,34,4.56,74
419,Bakchar,57.02,82.07,34.34,100,8.3,96
420,Maumere,-8.62,122.21,84.52,99,4.03,66
421,Lucapa,-8.42,20.74,66.56,100,2.28,100
422,Gornyy,55.12,83.91,31.91,0,19.13,92
423,Khandyga,62.67,135.6,15.62,100,2.42,95
424,Poum,-20.23,164.02,77.29,100,14.41,73
425,Marzuq,14.4,46.47,58.71,1,2.82,31
426,Te Anau,-45.42,167.72,59.05,100,3.22,49
427,Kaeo,-35.1,173.78,72.0,59,5.01,70
428,Zomba,-15.39,35.32,67.95,46,5.44,75
429,Pemba,-12.97,40.52,77.0,20,3.36,88
430,Rossland,49.08,-117.8,26.01,97,0.69,77
431,Semporna,4.48,118.61,82.4,20,2.24,88
432,Kaitangata,-46.28,169.85,55.67,0,7.65,56
433,Sidi Ali,36.1,0.42,57.07,0,5.37,75
434,Yaan,7.38,8.57,74.79,6,4.29,81
435,Kinablangan,7.69,126.55,83.41,100,1.41,72
436,Sicamous,50.83,-118.99,37.38,100,0.81,92
437,Solone,48.21,34.87,42.8,0,8.95,81
438,Aksarka,66.56,67.8,3.24,91,6.24,92
439,Bitung,1.45,125.18,85.03,100,2.84,61
440,Laas,46.62,10.7,39.0,44,2.71,100
441,Sayyan,15.17,44.32,44.98,0,4.23,47
442,Thinadhoo,0.53,72.93,83.73,41,11.56,67
443,Huarmey,-10.07,-78.15,64.09,88,7.2,85
444,Ibanda,-2.8,32.47,66.0,81,1.41,87
445,La Ronge,55.1,-105.28,26.6,90,9.17,92
446,Saint-Augustin,51.23,-58.65,30.85,55,4.92,90
447,Marystown,47.17,-55.15,47.37,76,17.74,88
448,Caravelas,-17.71,-39.25,77.18,100,10.54,90
449,Arman',59.7,150.17,34.29,0,3.83,71
450,Santa María Rayón,19.14,-99.58,62.6,75,11.41,59
451,Miracema do Tocantins,-9.56,-48.4,75.15,2,4.05,81
452,Terney,45.05,136.61,49.21,46,3.2,62
453,Szczytno,53.56,20.99,46.4,75,4.7,100
454,Requena,39.49,-1.1,46.0,34,6.2,70
455,Guadalupe y Calvo,26.1,-106.97,44.89,0,6.6,87
456,Kavieng,-2.57,150.8,84.63,82,2.48,66
457,Sabang,5.89,95.32,81.99,96,20.89,74
458,Buluang,13.31,123.34,86.68,16,1.61,63
459,Riverton,40.52,-111.94,38.93,1,9.17,48
460,Zima,53.92,102.04,30.11,29,7.76,95
461,Ust'-Kulom,61.69,53.69,34.47,100,7.85,94
462,Ribas do Rio Pardo,-20.44,-53.76,73.49,0,5.48,59
463,Santa Inês,-3.67,-45.38,75.72,100,4.63,88
464,Ilulissat,69.22,-51.1,7.48,86,3.09,89
465,Cordele,31.96,-83.78,76.19,90,5.82,78
466,Russell,32.35,-85.2,72.79,90,9.17,94
467,Fairbanks,64.84,-147.72,28.06,90,4.16,92
468,Naze,28.37,129.48,77.04,40,11.41,69
469,Krasnyy Chikoy,50.36,108.75,29.39,48,3.44,83
470,Makakilo City,21.35,-158.09,81.12,1,3.36,69
471,Puerto Limón,10.0,-83.03,78.8,0,1.45,88
472,Pauini,-7.71,-66.98,73.0,100,3.0,97
473,Korla,41.76,86.15,39.0,0,4.72,93
474,Brekstad,63.69,9.67,40.98,0,8.05,86
475,Camopi,3.17,-52.32,77.58,21,4.63,76
476,Monrovia,6.3,-10.8,78.8,75,5.12,94
